gene_id	locus	CDS_length	strand
ENSSHAG00000026811	A:1-2013	2013	+
ENSSHAG00000031579	A:2014-2742	729	-
ENSSHAG00000020466	A:2743-4905	2163	-
ENSSHAG00000028316	A:4906-6774	1869	-
ENSSHAG00000025494	A:6775-7701	927	+
ENSSHAG00000027370	A:7702-9240	1539	-
ENSSHAG00000023991	A:9241-10956	1716	-
ENSSHAG00000005767	A:10957-11694	738	+
ENSSHAG00000030232	A:11695-13056	1362	-
ENSSHAG00000004011	A:13057-14457	1401	-
ENSSHAG00000031702	A:14458-15561	1104	-
ENSSHAG00000020702	A:15562-16302	741	+
ENSSHAG00000023066	A:16303-17619	1317	-
ENSSHAG00000031526	A:17620-18120	501	-
ENSSHAG00000028716	A:18121-18342	222	-
ENSSHAG00000021686	A:18343-19101	759	+
ENSSHAG00000028392	A:19102-20580	1479	+
ENSSHAG00000025092	A:20581-23232	2652	-
ENSSHAG00000005805	A:23233-24870	1638	-
ENSSHAG00000028172	A:24871-25323	453	-
ENSSHAG00000026693	A:25324-26817	1494	-
ENSSHAG00000000968	A:26818-29448	2631	+
ENSSHAG00000027378	A:29449-31953	2505	+
ENSSHAG00000026743	A:31954-33282	1329	+
ENSSHAG00000030691	A:33283-35568	2286	-
ENSSHAG00000024444	A:35569-36036	468	+
ENSSHAG00000031896	A:36037-37554	1518	+
ENSSHAG00000000081	A:37555-39273	1719	+
ENSSHAG00000000510	A:39274-40398	1125	+
ENSSHAG00000026198	A:40399-41643	1245	+
ENSSHAG00000020525	A:41644-42498	855	+
ENSSHAG00000029866	A:42499-43422	924	-
ENSSHAG00000028866	A:43423-43788	366	+
ENSSHAG00000000237	A:43789-47961	4173	+
ENSSHAG00000032123	A:47962-49431	1470	-
ENSSHAG00000028233	A:49432-50169	738	-
ENSSHAG00000030108	A:50170-50934	765	-
ENSSHAG00000000069	A:50935-53346	2412	-
ENSSHAG00000000076	A:53347-54618	1272	+
ENSSHAG00000003419	A:54619-56508	1890	-
ENSSHAG00000029835	A:56509-57459	951	+
ENSSHAG00000031894	A:57460-59817	2358	+
ENSSHAG00000007835	A:59818-62130	2313	-
ENSSHAG00000006856	A:62131-66798	4668	+
ENSSHAG00000006345	A:66799-68961	2163	-
ENSSHAG00000027246	A:68962-69252	291	-
ENSSHAG00000030865	A:69253-69465	213	-
ENSSHAG00000006029	A:69466-70377	912	-
ENSSHAG00000003788	A:70378-71778	1401	+
ENSSHAG00000025832	A:71779-73485	1707	+
ENSSHAG00000003634	A:73486-75336	1851	-
ENSSHAG00000022160	A:75337-76770	1434	-
ENSSHAG00000022454	A:76771-77175	405	-
ENSSHAG00000001536	A:77176-77934	759	+
ENSSHAG00000031695	A:77935-79014	1080	-
ENSSHAG00000026205	A:79015-83736	4722	-
ENSSHAG00000005433	A:83737-84588	852	-
ENSSHAG00000005564	A:84589-85290	702	+
ENSSHAG00000027763	A:85291-86556	1266	+
ENSSHAG00000009727	A:86557-91305	4749	+
ENSSHAG00000026238	A:91306-92589	1284	+
ENSSHAG00000001316	A:92590-93906	1317	-
ENSSHAG00000021509	A:93907-94371	465	+
ENSSHAG00000012296	A:94372-98829	4458	-
ENSSHAG00000027620	A:98830-99447	618	-
ENSSHAG00000021352	A:99448-100128	681	-
ENSSHAG00000026712	A:100129-102231	2103	-
ENSSHAG00000003647	A:102232-104907	2676	+
ENSSHAG00000026440	A:104908-107844	2937	+
ENSSHAG00000028189	A:107845-108201	357	+
